,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
23848,Caves Of Mars,/app/1724180/,2021-09-29,2,1,0,1,59.42,Adventure (25),"Action (1), Adventure (25), Indie (23)",Silkweb Games,Silkweb Games,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2021-10-01,,0,0,2,2021-09-29
23849,Stationery Frontier,/app/1724360/,2021-09-08,2,1,0,1,59.42,Indie (23),"Indie (23), Early Access (70)",BC Square Entertainment Limited,Ivan,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-09-03,,0,0,2,2021-10-30
23850,Terrain Defender,/app/1724580/,2021-10-29,1,1,0,1,59.42,Casual (4),"Casual (4), Indie (23), Simulation (28), Strategy (2)",Cristian Yaco Bustamante,Cristian Yaco Bustamante,nan,2021-09-03,,0,0,1,2021-11-01
23851,Flyland Wars: 2 Not Yours Mine,/app/1726450/,2021-10-04,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25)",Loren Logic,Loren Logic,nan,2021-09-17,,0,0,1,2021-10-09
23852,Star Age: Space Combat,/app/1726690/,2021-11-26,2,1,0,1,59.42,Action (1),"Action (1), Indie (23), Early Access (70)",Galactic Games LLC,Galactic Games LLC,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2021-11-10,,0,0,2,2022-02-21
23853,Puzzle Fever,/app/1727260/,2021-09-09,1,1,0,1,59.42,Indie (23),"Casual (4), Indie (23)",Gales Corp.,ViiGames,Engine.GameMaker,2021-08-16,,0,0,1,2021-09-09
23854,Kirkileons,/app/1728500/,2021-11-17,2,1,0,1,59.42,Indie (23),"Indie (23), Strategy (2)",Siskos Alexandros,Siskos Alexandros,Engine.Unity,2021-11-09,,0,0,2,2021-11-18
23855,Detention Club: School's Out,/app/1728590/,2021-09-07,2,1,0,1,59.42,RPG (3),RPG (3),jackSTAR,jackSTAR,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2021-08-17,,0,0,2,2021-09-09
23856,Hyper Bullet,/app/1729660/,2021-10-06,1,1,0,1,59.42,Indie (23),"Action (1), Casual (4), Indie (23)",Tony Wang,Tony Wang,SDK.SDL; SDK.Vorbis; SDK.cURL,2021-09-28,,0,0,1,2021-10-27
23857,Eyeballs are your ENEMIES!,/app/1729820/,2021-09-04,2,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",Waka Games,Waka Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-08-19,,0,0,2,2021-09-05
23858,Colours and Symbols,/app/1730470/,2021-09-30,2,1,0,1,59.42,Indie (23),"Casual (4), Indie (23), Strategy (2)",Breadfast Tea,Yong Chuan Tan,Engine.Unity; SDK.UnityURP,2021-08-21,,0,0,2,2021-09-30
23859,玄龙山,/app/1732590/,2021-12-14,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3)",Venter,Venter,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.Vorbis; SDK.XAudio2,2021-12-08,,0,0,1,2021-12-14
23860,n2222,/app/1733140/,2021-11-29,1,1,0,1,59.42,Indie (23),"Action (1), Adventure (25), Casual (4), Indie (23), Simulation (28)",reed,reed,nan,2022-09-14,,0,0,1,2021-11-29
23861,The Final Frontier,/app/1733400/,2021-09-12,1,1,0,1,59.42,Action (1),Action (1),DJ Games,DJ Games,Engine.GameMaker,2022-06-24,,0,0,1,2021-09-12
23862,Galaxy Edge,/app/1733950/,2021-10-07,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",Jpduque,Jpduque,Engine.XNA,2021-09-21,,0,0,1,2021-10-07
23863,Kingdom of Heroes,/app/1734560/,2021-09-21,2,1,0,1,59.42,Action (1),"Action (1), Indie (23)",MoonlightGames,MoonlightGames,nan,2021-09-17,,0,0,2,2021-09-21
