,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
23864,Farmers' Market,/app/1735640/,2021-10-01,2,1,0,1,59.42,Early Access (70),"Casual (4), Strategy (2), Early Access (70)",Bill2029 Studios,Bill2029 Studios,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2023-02-04,,0,0,2,2022-06-29
23865,Collector Thief,/app/1737010/,2021-12-20,1,1,0,1,59.42,Strategy (2),"Indie (23), Strategy (2)",Heartbeat Game Studio,Heartbeat Game Studio,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-12-10,,0,0,1,2021-12-20
23866,Dalruan: World of Magic,/app/1738550/,2021-09-14,2,1,0,1,59.42,Action (1),"Action (1), Adventure (25), RPG (3)",UltraPwned Gaming,UltraPwned Gaming,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,2022-09-18,,0,0,2,2021-09-20
23867,Dreams Of The Elements,/app/1739710/,2021-10-06,4,1,0,1,59.42,RPG (3),"Adventure (25), RPG (3)",Crusader's Fellowship,Nicholas Stephens,nan,2021-09-21,,0,0,4,2021-10-08
23868,Spirit and Katana,/app/1741620/,2021-10-14,3,1,0,1,59.42,Casual (4),Casual (4),Kaisouroku Games,Kaisouroku Games,Engine.VisualNovelMaker; SDK.Greenworks; SDK.NWJS; SDK.NodeJS,2022-10-31,,0,0,3,2021-10-15
23869,Purify,/app/1742060/,2021-11-07,1,1,0,1,59.42,Action (1),"Action (1), Indie (23), RPG (3)",EI,EI,nan,2021-11-28,,0,0,1,2021-11-07
23870,Eternal night,/app/1742480/,2021-10-21,1,1,0,1,59.42,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Mango tea,Mango tea,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2021-10-04,,0,0,1,2021-10-22
23871,ファントムゾーン　クリプトファシア,/app/1742880/,2021-11-26,1,1,0,1,59.42,Adventure (25),"Adventure (25), Indie (23)",ケイエル,ファントムゾーン観測室,SDK.NWJS,2022-06-03,,0,0,1,2022-01-06
23872,Sidequest : the video game,/app/1743110/,2021-11-22,2,1,0,1,59.42,RPG (3),"Action (1), Adventure (25), Casual (4), RPG (3)",Angry-fromun,Angry-fromun,nan,2021-11-01,,0,0,2,2021-11-27
23873,Running Water,/app/1743610/,2021-09-24,2,1,0,1,59.42,Action (1),"Action (1), Indie (23)",Mechanical Dragon Studios,Mechanical Dragon Studios,SDK.NWJS; SDK.NodeJS,2021-09-04,,0,0,2,2021-09-27
23874,Dance of Cubes,/app/1744620/,2021-09-15,1,1,0,1,59.42,Casual (4),Casual (4),Eivind Magnus Hvidevold,Eivind Magnus Hvidevold,Engine.Unity; SDK.UnityBurst; SDK.UnityEntities; SDK.UnityHDRP; SDK.cURL,2021-09-01,,0,0,1,2021-09-15
23875,Circuit Breaker,/app/1745960/,2021-10-22,2,1,0,1,59.42,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Still Pending Games,Still Pending Games,Engine.Unity; SDK.FMOD; SDK.UnityHDRP; SDK.cURL,2021-10-22,,0,0,2,2021-10-22
23876,Sailing Stone,/app/1746830/,2021-09-17,1,1,0,1,59.42,Indie (23),"Casual (4), Indie (23)",Psyonx Studio,Psyonx Studio,Engine.Unity,2022-10-28,,0,0,1,2021-09-19
23877,Crom: Journey of Conquest,/app/1747500/,2021-09-27,2,1,0,1,59.42,Strategy (2),"Adventure (25), Strategy (2)",Halberd Entertainment,Martijn van Leeuwen,Engine.Unity,2022-03-19,,0,0,2,2021-10-10
23878,Crazy Athletics - Summer Sports & Games,/app/1747570/,2021-12-03,2,1,0,1,59.42,Sports (18),"Action (1), Indie (23), Sports (18)",Crazysoft Limited,Crazysoft Limited,Engine.Unity; SDK.UnityBurst; SDK.cURL,2021-09-20,,0,0,2,2021-12-12
23879,Tile Connect - Onet Match,/app/1749210/,2021-09-23,5,1,0,1,59.42,Indie (23),"Casual (4), Indie (23), RPG (3), Strategy (2)",Boogygames Studios,Boogygames Studios,Engine.Unity,2021-09-08,,0,2,5,2021-12-28
23880,String Rush,/app/1749260/,2021-09-29,1,1,0,1,59.42,Indie (23),"Casual (4), Indie (23), Strategy (2)",Francesco Generali,Francesco Generali,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-09-13,,0,0,1,2021-09-29
23881,Legends of Murder Collection,/app/1749710/,2021-10-01,2,1,0,1,59.42,RPG (3),"Adventure (25), RPG (3)",Ziggurat,Softdisk Publishing,Emulator.DOSBOX; SDK.SDL,2021-09-29,,0,0,2,2022-06-06
23882,Ninja: Rise of a Hero,/app/1750290/,2021-09-24,2,1,0,1,59.42,Adventure (25),"Action (1), Adventure (25), Indie (23)",MadAnt Games,MadAnt Games,Engine.Unity,2021-09-10,,0,0,2,2021-09-29
23883,Last Defenders,/app/1750690/,2021-10-05,1,1,0,1,59.42,Action (1),Action (1),Diego,Diego,Engine.Unity; SDK.cURL,2021-10-02,,0,0,1,2021-10-06
23884,Merge Chess,/app/1750990/,2021-09-26,1,1,0,1,59.42,Strategy (2),"Casual (4), Indie (23), Strategy (2)",Ammonite Design Studios Ltd,Ammonite Design Studios Ltd,Engine.Unity; SDK.cURL,2021-09-05,,0,0,1,2021-09-26
23885,Imoto,/app/1751610/,2021-09-29,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23)",KL STUDIO,KL STUDIO,SDK.NWJS; SDK.NodeJS,2021-09-14,,0,0,1,2021-10-07
23886,Legend of Labot: The Golden Pearl,/app/1753160/,2021-11-17,1,1,0,1,59.42,Indie (23),Indie (23),DreamJoy Studios,DreamJoy Studios,Engine.Unity; SDK.UnityURP,2021-10-07,,0,1,1,2021-11-18
23887,Lowsy,/app/1753800/,2021-09-27,1,1,0,1,59.42,Indie (23),"Indie (23), Strategy (2)",Xpux,Xpux,Engine.Unity; SDK.UnityURP,2021-09-10,,0,1,1,2021-09-27
23888,Sola,/app/1753810/,2021-09-28,2,1,0,1,59.42,Indie (23),"Action (1), Adventure (25), Indie (23)",HexaScale Games,HexaScale Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-09-11,,0,0,2,2021-09-28
23889,The Adventures of Emoji 4 : Fly High Mouse,/app/1754490/,2021-10-06,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23)",Moji4Studio,Moji4Studio,Engine.GameMaker,2021-09-21,,0,0,1,2021-10-07
23890,Stint: Rift Apart,/app/1756060/,2021-10-22,1,1,0,1,59.42,Indie (23),"Action (1), Adventure (25), Indie (23)",BearsCom Games,BearsCom Games,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-09-17,,0,0,1,2021-10-22
23891,Pong Temple,/app/1757130/,2021-12-17,2,1,0,1,59.42,Action (1),"Action (1), Indie (23), Early Access (70)",JulFlux,JulFlux,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2021-10-14,,0,0,2,2022-04-12
23892,Little Red Rocket Ship,/app/1757260/,2021-10-01,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23), Early Access (70)",Random,Random,Engine.GameMaker,2022-02-14,,0,0,1,2021-10-01
23893,Dungescape!,/app/1759260/,2021-10-03,1,1,0,1,59.42,Casual (4),"Adventure (25), Casual (4), Indie (23)",Autism Fanaticism Gaming,Ben Barefoot,Engine.RPGMaker,2021-09-15,,0,0,1,2021-10-03
23894,Rescue Troopers,/app/1759430/,2021-10-05,2,1,0,1,59.42,Early Access (70),"Action (1), Strategy (2), Early Access (70)",ss,ss,Engine.Unity,2021-10-19,,0,0,2,2021-10-06
23895,是男人就跳一万米,/app/1761250/,2021-10-08,2,1,0,1,59.42,Casual (4),"Casual (4), Indie (23)",Jupiter,Jupiter,Engine.Unity,2021-09-18,,0,0,2,2021-10-11
23896,RollingBall,/app/1765240/,2021-10-06,2,1,0,1,59.42,Indie (23),"Casual (4), Indie (23), Early Access (70)",BluePrinting,BluePrinting,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-09-19,,0,0,2,2021-10-14
23897,RollingBall,/app/1765240/,2021-10-06,2,1,0,1,59.42,Indie (23),Indie (23),PotatoIndustries,PotatoIndustries,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2018-03-07,25.0,0,0,3,2018-10-16
23898,RollingBall,/app/806240/,2018-03-07,3,9,27,36,33.43,Indie (23),"Casual (4), Indie (23), Early Access (70)",BluePrinting,BluePrinting,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-09-19,,0,0,2,2021-10-14
23899,RollingBall,/app/806240/,2018-03-07,3,9,27,36,33.43,Indie (23),Indie (23),PotatoIndustries,PotatoIndustries,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2018-03-07,25.0,0,0,3,2018-10-16
23900,The Tainted,/app/1765470/,2021-11-02,3,1,0,1,59.42,RPG (3),RPG (3),Chris D Herring,Chris D Herring,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2021-09-19,,0,0,3,2021-11-03
23901,Cards Matching Memory Game,/app/1766180/,2021-10-06,2,1,0,1,59.42,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3), Strategy (2)",Boogygames Studios,Boogygames Studios,Engine.Unity; SDK.cURL,2021-09-21,,0,0,2,2022-12-21
23902,Lack of Water,/app/1769390/,2021-10-15,2,1,0,1,59.42,Indie (23),"Casual (4), Indie (23), Strategy (2)",QuickBobber,QuickBobber,Engine.Unity,2021-09-22,,0,0,2,2021-10-15
23903,Facility,/app/1769570/,2021-11-15,2,1,0,1,59.42,Indie (23),"Action (1), Casual (4), Indie (23)",Tyler Farley,Dark Cloud City,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-10-01,,0,0,2,2021-11-15
23904,Connection,/app/1769730/,2021-10-25,1,1,0,1,59.42,Adventure (25),Adventure (25),FTH GAMES,FTH GAMES,nan,2021-09-23,,0,0,1,2021-10-27
23905,Vacation Adventures: Cruise Director 3,/app/1770200/,2021-10-13,3,1,0,1,59.42,Adventure (25),"Adventure (25), Casual (4), Indie (23)",Casual Arts,Casual Arts,SDK.OpenAL; SDK.Vorbis; SDK.cURL,2021-09-27,,0,1,3,2021-10-14
23906,Destroying The Asteroids (Along With Unfair Hurdles),/app/1771960/,2021-10-25,1,1,0,1,59.42,Casual (4),"Action (1), Adventure (25), Casual (4), Sports (18), Strategy (2)",Mukesh Shukla,Mukesh Shukla,Engine.Unity; SDK.SteamworksNET; SDK.cURL,2022-07-23,,0,0,1,2021-11-10
23907,The Northern Gate,/app/1773390/,2021-10-13,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23)",Centillion Games,Jun Yang,Engine.Unity; SDK.UnityBurst; SDK.cURL,2021-10-13,,0,0,1,2021-10-23
23908,QontoWars,/app/1774130/,2021-10-16,6,1,0,1,59.42,Indie (23),"Indie (23), Early Access (70)",QontoLabs,QontoLabs,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-09-30,,0,0,6,2021-11-05
23909,Space Depression,/app/1775150/,2021-11-12,3,1,0,1,59.42,Indie (23),"Action (1), Casual (4), Indie (23)",Tamashii,Tamashii,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-10-19,,0,0,3,2022-04-18
23910,Touhou Adventure,/app/1777980/,2021-10-20,1,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Indie (23), Early Access (70)",Crimson Games Dev,Crimson Games Dev,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2022-11-05,,0,0,1,2021-10-20
23911,Play Outside Simulator,/app/1779940/,2021-10-26,1,1,0,1,59.42,Simulation (28),"Casual (4), Simulation (28), Early Access (70)",CataStoica,CataStoica,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,2021-10-21,,0,0,1,2021-10-26
23912,Anivenge,/app/1781580/,2021-11-22,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23), Early Access (70)",Fiery Aspen Studios LLC,Fiery Aspen Studios LLC,nan,2022-08-19,,0,0,1,2021-11-23
23913,Das Boot: German U-Boat Simulation,/app/1782080/,2021-11-05,2,1,0,1,59.42,Simulation (28),"Action (1), Adventure (25), Simulation (28), Strategy (2)",Ziggurat,Artech Digital Entertainment Ltd.,Emulator.DOSBOX; SDK.SDL,2022-04-07,,0,0,2,2022-01-29
23914,AirPlane,/app/1782640/,2021-10-27,1,1,0,1,59.42,Simulation (28),"Indie (23), Simulation (28), Strategy (2)",youshaonianstudio,youshaonianstudio,Engine.Unity; SDK.cURL,2021-10-09,,0,0,1,2021-10-28
23915,A Frustrating Platformer,/app/1783350/,2021-10-26,1,1,0,1,59.42,Casual (4),"Adventure (25), Casual (4), Indie (23), Strategy (2)",SillyFoal Studios,SillyFoal Studios,Engine.Unity; SDK.cURL,2022-02-06,,0,0,1,2021-10-26
23916,CubeLines,/app/1784100/,2021-10-29,3,1,0,1,59.42,Casual (4),"Casual (4), Strategy (2)",Kalvis,Kalvis,Engine.Unity; SDK.UnityURP; SDK.cURL,2021-11-10,,0,0,3,2021-11-08
23917,Ball Gun Arena,/app/1784840/,2021-11-26,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",OSAMA ZAMO,OSAMA ZAMO,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2021-11-05,,0,0,1,2021-11-27
23918,Space Gliders,/app/1785430/,2021-11-27,2,1,0,1,59.42,Adventure (25),"Adventure (25), Indie (23)",Flybridge Studio,Flybridge Studio,Engine.Adobe_AIR,2021-11-26,,0,0,2,2021-11-27
23919,The Pied Piper of Gamelin,/app/1786330/,2021-10-30,1,1,0,1,59.42,Action (1),"Action (1), Casual (4), Indie (23)",The Creator One,Dmitrii Susloparov,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,2021-10-14,,0,0,1,2021-10-30
23920,Safari Cannon,/app/1787030/,2021-10-28,2,1,0,1,59.42,Casual (4),Casual (4),Lighthouse Games Studio,Lighthouse Games Studio,Engine.Unity; SDK.UnityBurst,2021-10-13,,0,0,2,2021-11-03
23921,A Hot Springs Vacation with my Married Office Lady Superior,/app/1787870/,2021-11-17,3,1,0,1,59.42,Simulation (28),Simulation (28),Uzura Studio,Uzura Studio,nan,2021-10-14,,0,0,3,2021-11-21
23922,Laypo Simulator,/app/1789210/,2021-11-18,2,1,0,1,59.42,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Simulation (28), Strategy (2), Early Access (70)",Lewibie,Lewibie,Engine.GameMaker,2021-12-29,,0,0,2,2021-11-24
23923,Timmy the Tiger's Big Adventure,/app/1791090/,2021-11-07,1,1,0,1,59.42,Casual (4),"Adventure (25), Casual (4), RPG (3)",Dragon Ducky Gaming,Dragon Ducky Gaming,Engine.RPGMaker,2021-10-23,,0,0,1,2021-11-08
