ID,game,release,positive_reviews,negative_reviews,primary_genre,store_genres,publisher,developer,detected_technologies,all_time_peak,all_time_peak_date
24224,Dr Iwan,2021-11-19,4,2,Indie (23),"Indie (23), RPG (3), Strategy (2), Early Access (70)",OMSTUDIO,OMSTUDIO,Engine.Unity,3,2021-11-19
24225,Ultima Adventum,2021-04-15,4,2,RPG (3),"Indie (23), RPG (3)",Anima Games,Anima Games,Engine.RPGMaker,3,2021-04-17
24226,Bonegard,2021-04-01,4,2,Indie (23),"Action (1), Indie (23)",Gales Corp.,ImperiumGame,Engine.GameMaker,1,2021-04-06
24227,The Most Boring Life Ever,2021-04-08,4,2,Simulation (28),Simulation (28),Virtual Sky Interactive,Virtual Sky Interactive,Engine.Unity,3,2021-04-08
24228,Legend of Azcarth,2021-05-26,4,2,Adventure (25),"Action (1), Adventure (25), Indie (23)",Lost Worlds Entertainment,Lost Worlds Entertainment,Engine.Unity; SDK.UnityHDRP,4,2021-05-26
24229,LSDriver 1+2 (Remastered Collection),2021-04-22,4,2,Racing (9),"Casual (4), Indie (23), Racing (9)",Sinned Games,Sinned Games,SDK.OpenAL; SDK.SDL,2,2021-04-25
24230,Jurassic mahjong,2021-05-17,4,2,Casual (4),Casual (4),8floor,Creobit,SDK.OpenAL; SDK.Vorbis,4,2022-01-02
24231,Jivitam,2021-05-01,4,2,Casual (4),"Adventure (25), Casual (4), Indie (23)",Suri,Suri,Engine.Godot,1,2021-05-01
24232,青の镇物语,2021-07-10,4,2,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28), Strategy (2)",Clock in dream,Clock in dream,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,3,2021-07-24
24233,Combat Casino,2021-07-29,4,2,Indie (23),"Action (1), Casual (4), Indie (23), RPG (3), Strategy (2)",Skylor Beck,Skylor Beck,SDK.JVM,3,2021-05-28
24234,Setup Developer Tool 2021,2021-05-31,4,2,Racing (9),"Indie (23), Racing (9), Simulation (28)",Monkey Face Software LLC,Tim McArthur,Engine.Unity; SDK.cURL,5,2021-08-19
24235,Moxina,2021-05-19,4,2,Indie (23),"Adventure (25), Indie (23), Simulation (28)",GameJourney,Chieng Li Sheng,Engine.Unity,4,2021-05-20
24236,Halloween Patchwork Trick or Treat,2021-07-16,4,2,Casual (4),Casual (4),8floor,Creobit,SDK.OpenAL; SDK.Vorbis,3,2021-08-05
24237,Domination,2021-09-02,4,2,Action (1),"Action (1), Indie (23)",Christian Ruiz,Christian Ruiz,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,2,2021-09-04
24238,50 Waves Hero,2021-07-17,4,2,Adventure (25),"Adventure (25), Casual (4), Indie (23), Strategy (2)",Cola Lover Games,Cola Lover Games,Engine.Unity,28,2021-07-19
24239,Oozing Islands,2021-08-22,4,2,Strategy (2),Strategy (2),CoolExGames,Babooshka Bytes,Engine.Unity,2,2021-08-22
24240,Terragon: Symbol Of Magic,2021-09-08,4,2,RPG (3),"Action (1), Adventure (25), RPG (3), Early Access (70)",Reality Shift Studios,Reality Shift Studios,Engine.Unity; SDK.OpenXR; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3,2021-09-08
24243,The Rescue Squad,2021-08-25,4,2,Indie (23),"Casual (4), Indie (23)",Reforged Group,Reforged Group,Engine.GameMaker,2,2021-08-27
24244,Heavenly Hammer,2021-10-09,4,2,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), RPG (3), Simulation (28)",Boom Team,Boom Team,Engine.Unity,2,2021-10-09
24245,ButtonMash,2021-09-14,4,2,Adventure (25),"Adventure (25), Casual (4), Free to Play (37), Indie (23)",Hollow Skull Games,Thomas Charlton,Engine.Godot,2,2021-09-14
24246,Shuriken,2021-12-02,4,2,Adventure (25),"Adventure (25), Indie (23)",gleogames,gleogames,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,2,2022-02-14
